Platform,Year_of_Release,Genre,Publisher,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
DS,2008.0,Misc,AQ Interactive,E,0.19,0.01,0.0,0.02,0.22,82.0,11.0,8.2,13.0
GBA,2003.0,Action,Tomy Corporation,E10+,0.16,0.06,0.0,0.0,0.22,60.0,12.0,7.1,9.0
X360,2009.0,Strategy,Kalypso Media,T,0.15,0.02,0.03,0.01,0.22,75.0,33.0,6.6,22.0
Wii,2009.0,Action,THQ,T,0.08,0.12,0.0,0.02,0.22,72.0,45.0,8.8,36.0
X360,2014.0,Fighting,Namco Bandai Games,T,0.14,0.06,0.0,0.02,0.22,62.0,11.0,7.3,44.0
PC,2011.0,Action,Deep Silver,M,0.12,0.07,0.0,0.03,0.22,80.0,24.0,6.8,1428.0
GC,2002.0,Sports,Sega,E,0.17,0.04,0.0,0.01,0.22,92.0,24.0,8.3,15.0
X360,2011.0,Action,Bethesda Softworks,M,0.13,0.06,0.0,0.02,0.22,61.0,59.0,6.0,116.0
GBA,2002.0,Misc,THQ,E,0.15,0.06,0.0,0.0,0.22,53.0,14.0,7.4,5.0
GC,2005.0,Action,Activision,E10+,0.17,0.04,0.0,0.01,0.22,70.0,11.0,7.8,6.0
X360,2006.0,Shooter,Sega,T,0.19,0.01,0.0,0.02,0.22,70.0,63.0,7.8,36.0
PS2,2002.0,Adventure,Eidos Interactive,E,0.11,0.08,0.0,0.03,0.22,69.0,24.0,5.0,12.0
PS3,2008.0,Adventure,Unknown,E10+,0.12,0.0,0.08,0.01,0.22,63.0,12.0,6.2,34.0
X360,2006.0,Simulation,Ubisoft,T,0.19,0.01,0.0,0.02,0.21,49.0,36.0,6.0,49.0
PS4,2013.0,Strategy,Activision,E,0.1,0.08,0.0,0.04,0.21,47.0,5.0,2.0,87.0
PSP,2010.0,Sports,Sony Computer Entertainment,E,0.07,0.0,0.13,0.01,0.21,80.0,27.0,8.0,17.0
DS,2010.0,Action,LucasArts,T,0.17,0.03,0.0,0.02,0.21,43.0,5.0,4.0,5.0
PS2,2004.0,Racing,Ubisoft,E,0.11,0.08,0.0,0.03,0.21,52.0,17.0,6.8,8.0
PS2,2004.0,Racing,Eidos Interactive,T,0.11,0.08,0.0,0.03,0.21,63.0,17.0,8.0,7.0
PSP,2005.0,Sports,Sony Computer Entertainment,E,0.2,0.0,0.0,0.02,0.21,57.0,25.0,6.9,14.0
PS2,2002.0,Action,Agetec,T,0.03,0.02,0.15,0.01,0.21,66.0,28.0,8.0,7.0
X360,2012.0,Simulation,Namco Bandai Games,T,0.13,0.03,0.04,0.01,0.21,68.0,37.0,7.2,37.0
X360,2006.0,Sports,Take-Two Interactive,E,0.2,0.0,0.0,0.02,0.21,82.0,22.0,8.2,12.0
Wii,2006.0,Action,Midway Games,E10+,0.19,0.01,0.0,0.02,0.21,46.0,21.0,5.6,19.0
PS2,2004.0,Role-Playing,Ubisoft,T,0.1,0.08,0.0,0.03,0.21,76.0,44.0,8.6,14.0
GBA,2002.0,Shooter,TDK Mediactive,E,0.15,0.06,0.0,0.0,0.21,61.0,8.0,6.5,4.0
PS2,2002.0,Strategy,Ubisoft,T,0.1,0.08,0.0,0.03,0.21,47.0,7.0,7.4,8.0
3DS,2015.0,Strategy,Nintendo,T,0.14,0.05,0.01,0.02,0.21,69.0,69.0,7.7,125.0
X360,2013.0,Shooter,Take-Two Interactive,M,0.1,0.1,0.0,0.02,0.21,68.0,30.0,6.7,118.0
PC,2004.0,Shooter,LucasArts,T,0.07,0.13,0.0,0.02,0.21,72.0,19.0,3.5,1509.0
XB,2002.0,Shooter,Universal Interactive,M,0.16,0.05,0.0,0.01,0.21,76.0,20.0,7.5,6.0
XB,2005.0,Sports,Take-Two Interactive,E10+,0.16,0.05,0.0,0.01,0.21,83.0,32.0,7.5,26.0
X360,2009.0,Adventure,Disney Interactive Studios,E,0.14,0.05,0.0,0.02,0.21,25.0,4.0,3.8,48.0
XB,2004.0,Action,Activision,M,0.16,0.05,0.0,0.01,0.21,70.0,55.0,7.0,6.0
PS2,2005.0,Misc,Take-Two Interactive,T,0.1,0.08,0.0,0.03,0.21,60.0,17.0,8.6,5.0
PS2,2004.0,Shooter,Konami Digital Entertainment,M,0.1,0.08,0.0,0.03,0.21,65.0,37.0,7.1,8.0
PSP,2005.0,Sports,Electronic Arts,E,0.2,0.0,0.0,0.02,0.21,67.0,21.0,7.7,16.0
DS,2005.0,Sports,Activision,E,0.19,0.0,0.0,0.02,0.21,84.0,31.0,8.7,55.0
PS2,2004.0,Action,Capcom,T,0.1,0.08,0.0,0.03,0.21,85.0,29.0,7.7,17.0
X360,2009.0,Sports,Take-Two Interactive,E10+,0.19,0.01,0.0,0.02,0.21,76.0,31.0,6.2,35.0
PS2,2001.0,Shooter,Electronic Arts,M,0.1,0.08,0.0,0.03,0.21,84.0,18.0,7.2,11.0
PS2,2005.0,Platform,Namco Bandai Games,E,0.1,0.08,0.0,0.03,0.21,63.0,22.0,5.2,13.0
X360,2009.0,Shooter,THQ,M,0.12,0.07,0.0,0.02,0.21,71.0,54.0,6.4,64.0
PS3,2012.0,Adventure,Sony Computer Entertainment Europe,E,0.04,0.13,0.0,0.04,0.21,92.0,78.0,8.8,1381.0
PS3,2010.0,Racing,Black Bean Games,E10+,0.05,0.12,0.0,0.04,0.21,73.0,4.0,7.5,4.0
3DS,2016.0,Role-Playing,Namco Bandai Games,T,0.02,0.0,0.19,0.0,0.21,68.0,12.0,7.6,16.0
DS,2006.0,Sports,Electronic Arts,E,0.2,0.0,0.0,0.02,0.21,70.0,9.0,6.5,10.0
PS,2000.0,Fighting,Acclaim Entertainment,E,0.12,0.08,0.0,0.01,0.21,26.0,7.0,4.0,5.0
X360,2009.0,Sports,XS Games,E,0.2,0.0,0.0,0.02,0.21,63.0,4.0,5.8,5.0
XB,2005.0,Shooter,Ubisoft,M,0.16,0.05,0.0,0.01,0.21,75.0,43.0,8.1,21.0
PS3,2013.0,Role-Playing,Nippon Ichi Software,T,0.09,0.0,0.1,0.02,0.21,74.0,37.0,8.1,61.0
PS2,2003.0,Platform,Capcom,T,0.1,0.08,0.0,0.03,0.21,83.0,46.0,7.8,13.0
PC,2015.0,Action,Ubisoft,M,0.11,0.09,0.0,0.02,0.21,74.0,14.0,5.9,544.0
PS2,2002.0,Role-Playing,THQ,T,0.1,0.08,0.0,0.03,0.21,76.0,20.0,8.3,22.0
PS2,2001.0,Adventure,Konami Digital Entertainment,T,0.09,0.07,0.03,0.02,0.21,78.0,18.0,8.2,19.0
DS,2008.0,Action,Tecmo Koei,T,0.16,0.01,0.02,0.02,0.21,83.0,52.0,7.8,36.0
XB,2003.0,Sports,Activision Value,T,0.16,0.05,0.0,0.01,0.21,65.0,5.0,8.4,16.0
PSV,2016.0,Role-Playing,Square Enix,E10+,0.04,0.06,0.08,0.03,0.21,77.0,5.0,8.6,46.0
PSV,2014.0,Action,Nippon Ichi Software,M,0.06,0.01,0.12,0.02,0.21,72.0,35.0,8.4,77.0
Wii,2011.0,Action,Konami Digital Entertainment,E,0.08,0.08,0.03,0.02,0.21,79.0,9.0,7.0,12.0
Wii,2007.0,Platform,Vivendi Games,E10+,0.18,0.02,0.0,0.02,0.21,60.0,8.0,6.4,15.0
PS4,2014.0,Adventure,Telltale Games,M,0.1,0.07,0.0,0.04,0.21,83.0,6.0,8.4,259.0
Wii,2009.0,Adventure,Deep Silver,M,0.09,0.1,0.0,0.02,0.21,67.0,51.0,7.6,33.0
DS,2008.0,Strategy,THQ,E10+,0.16,0.03,0.0,0.02,0.21,78.0,28.0,6.9,20.0
X360,2008.0,Racing,Black Bean Games,E10+,0.06,0.14,0.0,0.01,0.21,63.0,17.0,8.0,6.0
GC,2003.0,Action,Electronic Arts,E,0.16,0.04,0.0,0.01,0.21,47.0,5.0,4.2,5.0
3DS,2012.0,Role-Playing,Nintendo,T,0.13,0.07,0.0,0.02,0.21,69.0,53.0,7.4,50.0
Wii,2009.0,Platform,Majesco Entertainment,E,0.18,0.01,0.0,0.01,0.21,80.0,43.0,8.7,35.0
PS3,2008.0,Racing,THQ,E,0.1,0.08,0.0,0.03,0.21,61.0,21.0,5.0,11.0
PS3,2009.0,Action,Electronic Arts,T,0.11,0.07,0.0,0.03,0.21,43.0,32.0,4.8,13.0
PSP,2010.0,Fighting,THQ,T,0.11,0.06,0.0,0.04,0.21,74.0,27.0,7.0,13.0
PSP,2005.0,Misc,Activision,E10+,0.19,0.0,0.0,0.02,0.21,37.0,6.0,6.4,20.0
X360,2007.0,Misc,Ubisoft,E,0.18,0.01,0.0,0.02,0.21,67.0,16.0,7.3,19.0
PS2,2002.0,Action,Eidos Interactive,M,0.1,0.08,0.0,0.03,0.21,81.0,25.0,8.9,49.0
XB,2004.0,Shooter,Atari,M,0.17,0.04,0.0,0.01,0.21,64.0,27.0,5.3,20.0
PS2,2001.0,Racing,Electronic Arts,E,0.1,0.08,0.0,0.03,0.21,85.0,17.0,8.2,9.0
PS2,2008.0,Action,Activision,E10+,0.1,0.08,0.0,0.03,0.21,69.0,4.0,4.1,16.0
X360,2007.0,Action,Microsoft Game Studios,M,0.18,0.0,0.01,0.01,0.21,38.0,45.0,2.9,44.0
XB,2005.0,Action,Electronic Arts,T,0.16,0.04,0.0,0.01,0.21,65.0,56.0,7.1,21.0
XOne,2014.0,Sports,Electronic Arts,E,0.17,0.02,0.0,0.02,0.21,53.0,9.0,6.8,53.0
XB,2002.0,Action,Sega,T,0.13,0.04,0.03,0.01,0.21,88.0,36.0,8.2,102.0
GC,2001.0,Sports,Midway Games,E,0.16,0.04,0.0,0.01,0.21,79.0,13.0,8.7,7.0
X360,2009.0,Action,Gamebridge,M,0.12,0.05,0.02,0.02,0.21,55.0,22.0,6.8,16.0
GC,2002.0,Sports,Electronic Arts,E,0.16,0.04,0.0,0.01,0.21,91.0,11.0,8.1,9.0
PS3,2013.0,Action,Square Enix,M,0.07,0.09,0.0,0.04,0.21,71.0,20.0,7.6,46.0
PSV,2014.0,Fighting,Namco Bandai Games,T,0.0,0.03,0.17,0.01,0.21,74.0,5.0,7.9,29.0
PS3,2011.0,Platform,THQ,E10+,0.11,0.07,0.0,0.03,0.21,74.0,50.0,7.1,34.0
PS2,2000.0,Sports,Konami Digital Entertainment,T,0.1,0.08,0.0,0.03,0.21,64.0,14.0,7.9,8.0
Wii,2007.0,Role-Playing,Square Enix,E10+,0.09,0.0,0.11,0.01,0.21,76.0,34.0,8.0,20.0
PS2,2005.0,Action,Eidos Interactive,T,0.1,0.08,0.0,0.03,0.21,78.0,54.0,8.3,23.0
X360,2010.0,Action,Deep Silver,T,0.07,0.11,0.0,0.02,0.21,40.0,37.0,4.7,19.0
Wii,2011.0,Misc,THQ,T,0.19,0.0,0.0,0.01,0.21,81.0,5.0,7.7,6.0
PS,2000.0,Fighting,Midway Games,M,0.12,0.08,0.0,0.01,0.21,28.0,7.0,2.4,17.0
3DS,2016.0,Platform,Capcom,E,0.14,0.0,0.05,0.02,0.21,77.0,27.0,7.1,26.0
Wii,2010.0,Action,THQ,T,0.12,0.07,0.0,0.02,0.21,53.0,4.0,6.6,5.0
X360,2007.0,Sports,Electronic Arts,E,0.19,0.0,0.0,0.02,0.21,67.0,33.0,7.1,15.0
X360,2009.0,Sports,Zushi Games,T,0.18,0.01,0.0,0.01,0.21,68.0,34.0,8.6,19.0
PS2,2005.0,Action,THQ,M,0.1,0.08,0.0,0.03,0.21,68.0,26.0,8.5,8.0
PC,2013.0,Shooter,Trion Worlds,M,0.14,0.04,0.0,0.02,0.21,64.0,40.0,6.5,661.0
XB,2002.0,Sports,Electronic Arts,E,0.15,0.04,0.0,0.01,0.21,80.0,12.0,7.9,12.0
PSP,2005.0,Sports,Electronic Arts,E,0.19,0.0,0.0,0.02,0.21,78.0,25.0,7.4,14.0
PS2,2002.0,Sports,Sega,E,0.1,0.08,0.0,0.03,0.21,89.0,25.0,7.8,17.0
X360,2011.0,Misc,THQ,T,0.19,0.0,0.0,0.01,0.21,82.0,23.0,7.9,29.0
GBA,2001.0,Fighting,Ubisoft,E,0.09,0.03,0.08,0.0,0.21,82.0,16.0,7.8,8.0
PS4,2015.0,Sports,Activision,T,0.09,0.08,0.0,0.03,0.21,32.0,43.0,1.5,427.0
PSP,2010.0,Sports,Sony Computer Entertainment,E,0.19,0.0,0.0,0.02,0.21,79.0,11.0,6.6,8.0
PS2,2002.0,Sports,Zoo Digital Publishing,E,0.04,0.03,0.12,0.01,0.21,68.0,16.0,8.5,15.0
3DS,2011.0,Action,Konami Digital Entertainment,E,0.16,0.03,0.0,0.01,0.21,54.0,11.0,5.5,8.0
DS,2008.0,Role-Playing,Ignition Entertainment,E,0.12,0.03,0.05,0.01,0.21,69.0,46.0,6.5,15.0
GC,2002.0,Action,Atari,E,0.16,0.04,0.0,0.01,0.21,33.0,6.0,7.5,18.0
X360,2010.0,Shooter,Namco Bandai Games,M,0.11,0.08,0.0,0.02,0.21,61.0,64.0,7.0,34.0
GC,2005.0,Fighting,Atari,T,0.16,0.04,0.0,0.01,0.21,48.0,11.0,6.6,11.0
XB,2003.0,Platform,Activision,T,0.15,0.04,0.0,0.01,0.21,58.0,27.0,6.4,9.0
GBA,2002.0,Action,THQ,E,0.15,0.05,0.0,0.0,0.21,55.0,4.0,6.9,8.0
Wii,2008.0,Action,Ubisoft,M,0.15,0.01,0.03,0.01,0.21,70.0,35.0,7.8,24.0
PS3,2013.0,Shooter,Capcom,T,0.07,0.05,0.06,0.02,0.21,61.0,30.0,5.5,102.0
GBA,2004.0,Action,Atari,E,0.15,0.05,0.0,0.0,0.2,40.0,5.0,7.8,5.0
PS2,2004.0,Fighting,Capcom,T,0.1,0.08,0.0,0.03,0.2,57.0,33.0,4.8,5.0
PS4,2016.0,Action,Ubisoft,M,0.04,0.13,0.0,0.03,0.2,72.0,32.0,7.4,49.0
PSV,2014.0,Action,Sony Computer Entertainment,M,0.08,0.06,0.01,0.05,0.2,73.0,28.0,7.4,133.0
PS3,2012.0,Action,Sega,M,0.1,0.03,0.06,0.02,0.2,71.0,35.0,8.2,106.0
PS3,2006.0,Simulation,Namco Bandai Games,T,0.06,0.0,0.14,0.01,0.2,33.0,31.0,5.1,47.0
PS2,2005.0,Strategy,Konami Digital Entertainment,T,0.06,0.05,0.07,0.02,0.2,68.0,31.0,8.6,17.0
XB,2005.0,Sports,Electronic Arts,E,0.15,0.04,0.0,0.01,0.2,76.0,21.0,7.2,5.0
X360,2013.0,Shooter,City Interactive,M,0.06,0.12,0.0,0.02,0.2,52.0,33.0,5.7,110.0
PC,2003.0,Role-Playing,CCP,T,0.0,0.19,0.0,0.01,0.2,69.0,22.0,7.5,280.0
DC,2000.0,Role-Playing,Sega,T,0.0,0.0,0.2,0.0,0.2,89.0,21.0,9.1,33.0
XB,2002.0,Racing,Sega,T,0.14,0.04,0.02,0.01,0.2,69.0,33.0,8.5,13.0
XB,2006.0,Racing,Take-Two Interactive,E10+,0.15,0.04,0.0,0.01,0.2,87.0,16.0,5.3,18.0
PSP,2006.0,Strategy,Atari,E10+,0.18,0.0,0.0,0.02,0.2,72.0,13.0,2.8,39.0
PC,2011.0,Shooter,THQ,M,0.09,0.09,0.0,0.03,0.2,74.0,34.0,7.4,596.0
PS2,2006.0,Fighting,Ignition Entertainment,T,0.1,0.08,0.0,0.03,0.2,67.0,14.0,8.5,4.0
WiiU,2013.0,Simulation,Disney Interactive Studios,E,0.14,0.04,0.0,0.02,0.2,51.0,10.0,5.3,9.0
XB,2002.0,Sports,Midway Games,E,0.15,0.04,0.0,0.01,0.2,79.0,9.0,7.8,5.0
PSP,2005.0,Fighting,Sony Computer Entertainment,T,0.18,0.0,0.0,0.02,0.2,63.0,37.0,7.3,16.0
PS2,2004.0,Platform,Activision,E,0.1,0.08,0.0,0.03,0.2,70.0,34.0,8.9,12.0
DS,2006.0,Racing,Electronic Arts,E,0.17,0.01,0.0,0.02,0.2,70.0,6.0,7.5,15.0
PS3,2007.0,Role-Playing,Ubisoft,T,0.17,0.01,0.0,0.02,0.2,64.0,23.0,5.9,40.0
PS2,2001.0,Racing,Infogrames,E,0.09,0.07,0.02,0.02,0.2,75.0,19.0,7.6,9.0
PS3,2013.0,Role-Playing,Nippon Ichi Software,T,0.07,0.02,0.1,0.02,0.2,53.0,44.0,7.5,80.0
DS,2007.0,Role-Playing,Namco Bandai Games,E,0.19,0.0,0.0,0.02,0.2,57.0,16.0,6.2,10.0
GBA,2003.0,Simulation,Ubisoft,E,0.14,0.05,0.0,0.0,0.2,82.0,8.0,9.2,40.0
GBA,2003.0,Platform,Activision,E,0.14,0.05,0.0,0.0,0.2,72.0,8.0,7.2,5.0
XB,2002.0,Sports,Sega,E,0.15,0.04,0.0,0.01,0.2,90.0,17.0,7.6,5.0
3DS,2012.0,Action,Agatsuma Entertainment,T,0.16,0.0,0.03,0.01,0.2,67.0,38.0,7.6,73.0
PS3,2011.0,Sports,Take-Two Interactive,E,0.15,0.03,0.0,0.02,0.2,72.0,13.0,6.3,9.0
X360,2008.0,Role-Playing,Ubisoft,M,0.16,0.02,0.01,0.02,0.2,52.0,27.0,7.0,48.0
Wii,2009.0,Action,Sega,E,0.17,0.01,0.0,0.02,0.2,53.0,6.0,5.8,4.0
PS2,2005.0,Shooter,Electronic Arts,M,0.1,0.08,0.0,0.03,0.2,51.0,32.0,5.3,7.0
PC,2015.0,Sports,Electronic Arts,E,0.06,0.13,0.0,0.01,0.2,81.0,10.0,4.4,296.0
XOne,2013.0,Sports,Electronic Arts,E,0.16,0.02,0.0,0.02,0.2,36.0,14.0,3.1,88.0
PS3,2010.0,Action,Sony Computer Entertainment,E10+,0.06,0.09,0.01,0.03,0.2,36.0,45.0,3.7,21.0
X360,2010.0,Simulation,Kalypso Media,T,0.11,0.07,0.0,0.02,0.2,63.0,33.0,7.2,19.0
XOne,2016.0,Action,Namco Bandai Games,T,0.11,0.07,0.0,0.02,0.2,73.0,8.0,7.3,29.0
PS4,2016.0,Role-Playing,Nippon Ichi Software,T,0.07,0.04,0.07,0.02,0.2,87.0,49.0,8.2,178.0
GC,2004.0,Platform,Electronic Arts,E,0.15,0.04,0.0,0.01,0.2,70.0,20.0,8.6,11.0
X360,2010.0,Misc,Namco Bandai Games,E,0.1,0.08,0.0,0.02,0.2,57.0,33.0,4.8,4.0
Wii,2009.0,Action,Namco Bandai Games,E10+,0.12,0.03,0.03,0.02,0.2,65.0,25.0,7.3,15.0
PSP,2008.0,Action,Tecmo Koei,T,0.02,0.0,0.18,0.0,0.2,62.0,13.0,6.6,10.0
XB,2003.0,Sports,Electronic Arts,E,0.15,0.04,0.0,0.01,0.2,82.0,18.0,9.0,9.0
X360,2007.0,Racing,Activision,E,0.18,0.0,0.0,0.02,0.2,43.0,9.0,6.4,5.0
DS,2009.0,Role-Playing,Sega,T,0.06,0.05,0.07,0.01,0.2,75.0,46.0,9.0,61.0
XB,2005.0,Action,Disney Interactive Studios,T,0.15,0.04,0.0,0.01,0.2,72.0,31.0,6.0,6.0
PSP,2006.0,Sports,Sony Computer Entertainment,E,0.18,0.0,0.0,0.02,0.2,68.0,24.0,7.0,5.0
PC,2011.0,Role-Playing,Unknown,M,0.09,0.09,0.0,0.02,0.2,76.0,31.0,6.5,315.0
XB,2003.0,Racing,Bethesda Softworks,E,0.15,0.04,0.0,0.01,0.2,40.0,5.0,7.4,7.0
PS3,2013.0,Role-Playing,Nippon Ichi Software,T,0.05,0.02,0.12,0.01,0.2,86.0,12.0,7.7,128.0
PS3,2007.0,Shooter,Codemasters,M,0.17,0.01,0.0,0.02,0.2,60.0,34.0,7.1,52.0
3DS,2012.0,Fighting,Nintendo,T,0.06,0.07,0.05,0.01,0.2,64.0,42.0,5.9,39.0
DS,2009.0,Role-Playing,Activision,E10+,0.16,0.03,0.0,0.02,0.2,65.0,7.0,6.7,9.0
X360,2010.0,Shooter,Square Enix,T,0.1,0.07,0.02,0.02,0.2,58.0,52.0,6.1,24.0
XB,2005.0,Action,Electronic Arts,T,0.15,0.04,0.0,0.01,0.2,71.0,34.0,8.8,12.0
PS3,2010.0,Simulation,Activision,T,0.11,0.06,0.0,0.03,0.2,66.0,17.0,6.1,12.0
PC,2015.0,Action,Warner Bros. Interactive Entertainment,M,0.12,0.06,0.0,0.02,0.2,75.0,40.0,7.9,1295.0
DC,2000.0,Role-Playing,Ubisoft,T,0.0,0.0,0.2,0.0,0.2,90.0,17.0,8.8,57.0
X360,2005.0,Racing,Namco Bandai Games,E,0.1,0.02,0.07,0.01,0.2,74.0,65.0,7.1,28.0
PS2,2005.0,Action,Konami Digital Entertainment,E10+,0.1,0.08,0.0,0.03,0.2,53.0,20.0,7.0,10.0
X360,2012.0,Simulation,Konami Digital Entertainment,M,0.14,0.03,0.01,0.02,0.2,75.0,21.0,8.8,20.0
X360,2008.0,Role-Playing,Compile Heart,T,0.18,0.0,0.01,0.01,0.2,71.0,7.0,7.0,35.0
PS2,2003.0,Strategy,Activision,T,0.1,0.08,0.0,0.03,0.2,78.0,27.0,8.0,22.0
PS3,2011.0,Shooter,D3Publisher,T,0.06,0.04,0.08,0.02,0.2,63.0,28.0,7.0,24.0
XB,2001.0,Sports,Acclaim Entertainment,T,0.15,0.04,0.0,0.01,0.2,76.0,18.0,8.2,6.0
GC,2002.0,Platform,THQ,E,0.15,0.04,0.0,0.01,0.2,66.0,4.0,8.3,10.0
PS2,2004.0,Misc,Namco Bandai Games,E,0.1,0.08,0.0,0.03,0.2,77.0,35.0,8.1,8.0
PSV,2012.0,Action,Ubisoft,T,0.07,0.09,0.0,0.03,0.2,49.0,34.0,6.4,61.0
PS2,2004.0,Action,Atari,T,0.1,0.08,0.0,0.03,0.2,71.0,40.0,6.8,18.0
X360,2007.0,Shooter,Activision,M,0.18,0.0,0.0,0.02,0.2,50.0,35.0,5.6,20.0
PS3,2009.0,Action,Atari,M,0.12,0.05,0.0,0.03,0.2,65.0,52.0,6.1,27.0
PSV,2012.0,Action,Konami Digital Entertainment,M,0.1,0.05,0.0,0.04,0.2,58.0,57.0,5.1,102.0
PS2,2005.0,Simulation,Ubisoft,M,0.1,0.08,0.0,0.03,0.2,59.0,33.0,7.5,18.0
X360,2008.0,Racing,THQ,E,0.12,0.06,0.0,0.02,0.2,65.0,35.0,7.1,18.0
PSP,2005.0,Sports,Electronic Arts,E,0.18,0.0,0.0,0.01,0.2,80.0,15.0,7.9,8.0
DS,2008.0,Role-Playing,Sega,T,0.1,0.02,0.07,0.01,0.2,59.0,28.0,8.0,10.0
GC,2004.0,Misc,Mad Catz,E,0.15,0.04,0.0,0.01,0.2,42.0,8.0,6.8,9.0
XB,2002.0,Adventure,Vivendi Games,M,0.15,0.04,0.0,0.01,0.2,78.0,21.0,6.6,14.0
PS3,2006.0,Role-Playing,Electronic Arts,T,0.14,0.02,0.02,0.02,0.2,58.0,40.0,7.2,36.0
PS3,2011.0,Strategy,PopCap Games,E10+,0.18,0.0,0.0,0.02,0.2,85.0,8.0,7.9,60.0
XB,2002.0,Role-Playing,Virgin Interactive,T,0.15,0.04,0.0,0.01,0.2,83.0,25.0,8.3,26.0
GC,2004.0,Action,Ubisoft,M,0.15,0.04,0.0,0.01,0.2,83.0,31.0,8.6,20.0
X360,2007.0,Action,Tecmo Koei,T,0.17,0.01,0.0,0.02,0.2,53.0,27.0,7.4,13.0
PS2,2005.0,Action,Vivendi Games,M,0.1,0.07,0.0,0.03,0.2,47.0,14.0,8.8,76.0
PS3,2011.0,Fighting,PQube,T,0.04,0.04,0.1,0.02,0.2,73.0,10.0,7.5,27.0
DS,2009.0,Action,Activision,E10+,0.15,0.03,0.0,0.02,0.2,55.0,8.0,8.1,8.0
PS2,2005.0,Racing,Xplosiv,M,0.1,0.07,0.0,0.03,0.2,51.0,26.0,2.1,9.0
PS3,2006.0,Simulation,505 Games,T,0.09,0.0,0.09,0.01,0.2,65.0,36.0,6.8,25.0
DS,2010.0,Role-Playing,Nintendo,E10+,0.08,0.04,0.07,0.01,0.2,76.0,40.0,7.9,23.0
PS2,2001.0,Sports,Sony Computer Entertainment,E,0.1,0.07,0.0,0.02,0.2,57.0,11.0,4.0,4.0
PS2,2008.0,Role-Playing,Gust,T,0.07,0.05,0.05,0.02,0.2,70.0,12.0,8.2,17.0
PS2,2003.0,Action,SCi,T,0.1,0.07,0.0,0.02,0.2,57.0,19.0,8.0,21.0
PS3,2014.0,Action,Konami Digital Entertainment,M,0.03,0.12,0.02,0.03,0.2,63.0,55.0,7.8,528.0
XB,2002.0,Racing,Empire Interactive,T,0.15,0.04,0.0,0.01,0.19,59.0,12.0,4.3,9.0
PS3,2011.0,Action,Nippon Ichi Software,M,0.0,0.03,0.16,0.01,0.19,58.0,25.0,6.5,15.0
GBA,2003.0,Platform,Vivendi Games,E,0.14,0.05,0.0,0.0,0.19,67.0,6.0,9.2,17.0
PS2,2006.0,Fighting,Ignition Entertainment,T,0.07,0.06,0.04,0.02,0.19,75.0,30.0,8.5,15.0
PSP,2006.0,Shooter,Ubisoft,M,0.17,0.01,0.0,0.02,0.19,58.0,37.0,7.5,39.0
PS3,2012.0,Sports,Take-Two Interactive,E,0.18,0.0,0.0,0.02,0.19,68.0,8.0,4.4,5.0
PSP,2006.0,Action,Take-Two Interactive,M,0.18,0.0,0.0,0.02,0.19,51.0,14.0,6.3,15.0
PS2,2005.0,Shooter,Ubisoft,M,0.1,0.07,0.0,0.02,0.19,76.0,21.0,8.9,36.0
PSP,2005.0,Action,Electronic Arts,E10+,0.17,0.0,0.0,0.02,0.19,70.0,13.0,7.4,16.0
GBA,2001.0,Role-Playing,Ubisoft,E,0.14,0.05,0.0,0.0,0.19,81.0,16.0,8.8,16.0
PS3,2011.0,Sports,THQ,E,0.08,0.08,0.0,0.03,0.19,65.0,8.0,2.4,5.0
X360,2007.0,Action,THQ,M,0.16,0.02,0.0,0.01,0.19,69.0,49.0,7.3,67.0
PS3,2010.0,Action,Konami Digital Entertainment,M,0.1,0.04,0.04,0.02,0.19,72.0,38.0,7.3,38.0
PC,2010.0,Shooter,Sega,M,0.0,0.17,0.0,0.02,0.19,68.0,35.0,7.4,985.0
PS3,2011.0,Action,Sega,T,0.1,0.06,0.0,0.03,0.19,61.0,34.0,7.3,40.0
XB,2004.0,Action,Take-Two Interactive,M,0.14,0.04,0.0,0.01,0.19,74.0,37.0,7.9,19.0
PS2,2002.0,Sports,Sony Computer Entertainment,E,0.09,0.07,0.0,0.02,0.19,57.0,16.0,6.0,4.0
X360,2008.0,Action,Namco Bandai Games,T,0.07,0.03,0.08,0.01,0.19,49.0,30.0,7.0,18.0
PS4,2014.0,Role-Playing,Focus Home Interactive,M,0.08,0.09,0.0,0.03,0.19,53.0,40.0,5.9,230.0
Wii,2009.0,Role-Playing,Disney Interactive Studios,E10+,0.16,0.02,0.0,0.01,0.19,71.0,22.0,8.4,16.0
X360,2010.0,Misc,Konami Digital Entertainment,E10+,0.15,0.02,0.02,0.01,0.19,63.0,30.0,5.9,7.0
PS2,2002.0,Role-Playing,Capcom,T,0.09,0.07,0.0,0.02,0.19,78.0,28.0,6.9,35.0
Wii,2008.0,Role-Playing,Sega,T,0.08,0.0,0.11,0.01,0.19,71.0,21.0,7.6,5.0
3DS,2016.0,Action,Warner Bros. Interactive Entertainment,E10+,0.07,0.09,0.01,0.01,0.19,60.0,4.0,7.1,15.0
DS,2009.0,Simulation,Electronic Arts,E,0.18,0.0,0.0,0.01,0.19,49.0,11.0,2.6,8.0
GC,2002.0,Adventure,Nintendo,E,0.15,0.04,0.0,0.01,0.19,50.0,9.0,8.9,10.0
